device_id,health_indicator,firmware_status,maintenance_group,support_team,diagnostic_flag,health_score,battery_voltage,error_count,restart_count,maintenance_cost
DEV100055,warning,outdated,B,Team3,CHECK,43.75341896,3.03550557,6,2,582.6817208
DEV100056,critical,outdated,B,Team2,FAIL,63.68753442,3.340180562,1,2,475.2104766
DEV100057,critical,outdated,B,Team2,CHECK,12.43128149,3.636174699,15,8,787.2115399
DEV100058,good,outdated,C,Team1,OK,24.61089112,3.036351928,1,4,426.9876713
DEV100059,good,updated,C,Team1,CHECK,5.798121827,4.76915007,4,7,441.1182121
DEV100060,warning,pending,B,Team3,OK,70.22368299,4.842006028,3,7,428.5941715
DEV100061,critical,updated,A,Team2,OK,56.73268595,3.126066026,17,1,810.047309
DEV100062,critical,pending,A,Team3,OK,39.3232253,4.426720438,2,6,636.0632805
DEV100063,critical,pending,B,Team1,OK,7.885659811,4.105771416,18,0,383.9527477
DEV100064,good,outdated,B,Team2,CHECK,1.0766306,3.004557553,16,1,241.1794739
DEV100065,warning,pending,B,Team2,OK,21.13470092,3.862677277,2,3,860.7656253
DEV100066,warning,updated,A,Team3,FAIL,67.4522217,3.422716206,16,1,989.3295361
DEV100067,critical,pending,A,Team2,OK,49.68930171,4.034993063,3,7,100.0881268
DEV100068,good,pending,A,Team1,CHECK,97.76186922,4.46173741,2,4,185.273464
DEV100069,critical,pending,A,Team1,OK,52.92510933,4.009601705,15,8,814.6535154
DEV100070,critical,outdated,A,Team2,FAIL,79.29889596,4.723943237,16,3,201.9413888
DEV100071,warning,outdated,A,Team1,CHECK,21.87860406,3.718931782,0,0,119.8430157
DEV100072,good,pending,B,Team2,FAIL,72.0062538,3.424067005,0,5,799.1647724
DEV100073,good,updated,A,Team2,FAIL,3.630614156,4.082820776,13,5,438.9240537
DEV100074,,updated,B,Team3,FAIL,48.06385029,3.281120218,0,7,533.4073654
DEV100075,critical,outdated,B,Team2,FAIL,61.75375441,3.33645551,11,7,310.863551
DEV100076,good,pending,B,Team3,CHECK,54.9422117,3.409153845,9,1,741.3057481
DEV100077,warning,outdated,A,Team3,OK,19.12531263,4.605433329,9,2,540.7001515
DEV100078,warning,pending,B,Team2,FAIL,95.73009797,4.709705928,13,2,324.1800545
DEV100079,critical,updated,C,Team3,FAIL,6.089576773,4.420815169,14,3,715.0486602
DEV100080,good,pending,B,Team1,FAIL,9.190167858,4.541145903,6,6,696.8647355
DEV100081,critical,updated,B,Team1,OK,58.2250447,4.577940019,4,8,979.8765122
DEV100082,critical,outdated,B,Team3,FAIL,27.67491453,4.347538601,0,1,536.2297088
DEV100083,warning,outdated,C,Team3,FAIL,24.54418535,4.606871853,19,7,638.3477199
DEV100084,warning,updated,B,Team3,FAIL,97.72263518,3.606188126,13,7,784.4235153
DEV100085,critical,updated,A,Team3,CHECK,44.42094453,3.988677867,18,1,906.255626
DEV100086,good,updated,A,Team3,CHECK,54.03641946,4.84678908,15,3,319.7210846
DEV100087,good,pending,C,Team2,OK,81.07457764,3.955500445,15,9,227.8895948
DEV100088,good,pending,A,Team2,OK,32.42391649,4.383161376,18,2,392.9216892
DEV100089,warning,outdated,C,Team3,FAIL,82.5512134,4.048736007,19,2,387.7268926
DEV100090,warning,pending,A,Team3,OK,47.40100746,4.00251216,15,8,344.1806975
DEV100091,critical,updated,C,Team3,OK,14.08889063,3.38212111,13,3,650.7548992
DEV100092,critical,updated,A,Team2,OK,63.89326202,3.188705868,10,9,225.0338385
DEV100093,good,updated,B,Team3,FAIL,70.86125494,4.343908173,6,9,936.6622645
DEV100094,warning,outdated,C,Team2,FAIL,43.34082319,3.905701387,11,2,621.2311542
DEV100095,good,pending,C,Team3,OK,38.7650016,3.578777052,3,7,968.4794444
DEV100096,warning,outdated,B,Team1,OK,44.24302227,3.854324428,10,3,130.6666579
DEV100097,??,updated,C,Team3,FAIL,97.44577241,4.653247467,7,3,768.9406004
DEV100098,warning,pending,C,Team3,OK,90.13043866,4.965061037,18,2,393.1189418
DEV100099,critical,pending,A,Team2,FAIL,72.15259413,4.128028755,19,5,288.3398324
DEV100100,good,pending,B,Team1,FAIL,46.61852103,4.947591468,5,6,463.9261251
DEV100101,critical,updated,B,Team2,CHECK,23.72747134,3.609315101,19,1,102.1576042
DEV100102,good,pending,B,Team2,CHECK,27.38622943,3.553452753,0,4,594.1832288
DEV100103,critical,pending,A,Team2,CHECK,52.95542387,3.864754004,3,2,617.3658713
DEV100104,warning,outdated,C,Team2,CHECK,65.05992639,4.517942811,13,4,721.5313571
DEV100105,warning,updated,A,Team2,CHECK,86.6528296,3.43607547,9,2,576.0748674
DEV100106,warning,updated,B,Team1,CHECK,33.53600047,4.314187272,14,3,392.2553035
DEV100107,good,pending,C,Team2,CHECK,51.47807469,4.265035637,16,5,658.8500736
DEV100108,good,outdated,B,Team3,FAIL,70.3303796,4.441790767,15,4,985.4449594
DEV100109,good,outdated,C,Team1,CHECK,13.28736873,4.543225738,4,2,907.0496468
DEV100110,critical,updated,A,Team2,CHECK,45.48820816,3.338404321,13,3,445.009046
DEV100111,warning,pending,C,Team2,FAIL,67.87130153,4.432628118,14,1,668.3792819
DEV100112,warning,outdated,C,Team2,CHECK,35.00301523,3.687474982,4,7,468.227471
DEV100113,critical,updated,C,Team3,FAIL,88.04788281,3.256898417,7,9,156.4310241
DEV100114,good,pending,C,Team2,OK,34.38097466,4.13916394,9,3,290.6508169
DEV100115,warning,pending,C,Team3,OK,7.329379406,4.633418985,10,2,451.9099363
DEV100116,warning,outdated,A,Team3,OK,6.57304059,4.060112575,15,5,753.6397191
DEV100117,warning,updated,A,Team2,FAIL,73.00975471,4.042478934,13,1,861.1243908
DEV100118,critical,outdated,A,Team3,OK,25.03904281,4.960587041,17,0,341.7724049
DEV100119,critical,updated,B,Team1,OK,53.07889216,3.425419088,4,0,621.5260257
DEV100120,warning,pending,C,Team3,FAIL,1.060789468,4.350201784,12,6,584.4950864
DEV100121,warning,outdated,A,Team2,OK,87.19192285,4.498099419,13,5,703.7299835
DEV100122,critical,updated,B,Team2,OK,62.53778326,3.685930128,11,0,237.8117926
DEV100123,good,pending,C,Team3,OK,27.26153324,4.904406563,4,9,348.8616679
DEV100124,good,outdated,C,Team1,FAIL,76.2570795,3.652257044,15,8,514.1026725
DEV100125,warning,pending,C,Team1,OK,56.55742034,3.908313223,14,3,230.3401836
DEV100126,warning,updated,B,Team3,FAIL,23.90547344,3.305777138,15,9,528.5889902
DEV100127,good,updated,C,Team1,FAIL,10.75000207,4.287012696,5,0,881.1122913
DEV100128,good,outdated,A,Team2,FAIL,84.62629416,3.27191602,11,2,504.4589454
DEV100129,critical,updated,B,Team1,FAIL,95.49749816,3.303097419,11,3,473.4535473
DEV100130,warning,updated,B,Team2,OK,19.41950798,3.410771235,15,7,185.8684931
DEV100131,critical,pending,B,Team3,OK,94.22385438,3.048672287,18,5,164.2098922
DEV100132,good,outdated,B,Team2,OK,37.39821499,4.457808043,16,2,117.3377085
DEV100133,good,outdated,A,Team3,OK,24.33811367,4.204500486,10,0,613.8756912
DEV100134,warning,pending,A,Team1,OK,50.59025175,4.770463572,4,9,585.0520436
DEV100135,critical,pending,A,Team2,FAIL,71.92207276,4.95713806,17,3,833.1614945
DEV100136,warning,updated,A,Team3,OK,44.04270581,3.974760926,15,6,381.1466002
DEV100137,good,pending,B,Team3,CHECK,78.53929709,3.644737335,5,5,723.767086
DEV100138,warning,outdated,C,Team3,FAIL,66.90689621,4.74551442,15,6,120.5485102
DEV100139,critical,outdated,C,Team2,OK,18.03522335,3.971161542,3,1,596.7767858
DEV100140,good,pending,A,Team2,CHECK,1.595081099,4.781312655,17,7,582.2052887
DEV100141,warning,updated,B,Team1,FAIL,63.36663886,3.598126232,8,6,611.9626011
DEV100142,critical,outdated,C,Team2,FAIL,27.09154377,3.781726931,8,2,644.3403201
DEV100143,good,pending,B,Team2,OK,75.66236385,3.578519514,14,9,330.3691523
DEV100144,warning,updated,A,Team2,CHECK,63.52336886,4.825372306,4,4,963.9883753
DEV100145,warning,outdated,B,Team1,CHECK,76.18629762,3.195322662,4,8,242.3388262
DEV100146,warning,pending,A,Team2,FAIL,48.69775996,4.041175942,9,2,522.6560809
DEV100147,warning,pending,A,Team2,OK,82.69012949,3.830123624,14,0,577.8459835
DEV100148,good,outdated,C,Team3,CHECK,10.88511876,4.06601095,3,2,860.7697581
DEV100149,good,pending,A,Team2,CHECK,6.426805967,4.77211117,2,7,526.3015056
DEV100150,critical,outdated,B,Team1,CHECK,17.81962257,3.604005462,7,0,114.9883574
DEV100151,good,pending,C,Team2,FAIL,36.14601738,3.53319079,10,5,578.9795521
DEV100152,warning,pending,A,Team1,FAIL,87.59519131,3.514897504,9,9,206.5010308
DEV100153,good,pending,A,Team1,CHECK,94.80267659,4.406560917,8,9,692.0706043
DEV100154,good,outdated,B,Team2,FAIL,24.5791728,3.530714341,7,3,934.0978621
DEV100155,good,outdated,A,Team2,FAIL,5.196211649,3.093536499,3,4,147.5972644
DEV100156,critical,pending,A,Team2,FAIL,70.86808037,4.969696211,5,1,234.5134997
DEV100157,good,pending,B,Team2,FAIL,42.54691825,3.199981608,0,3,862.5483669
DEV100158,good,outdated,C,Team1,CHECK,85.8374038,3.166208909,19,7,205.9767525
DEV100159,warning,pending,C,Team1,FAIL,99.7763055,4.503312799,1,9,936.2983287
DEV100160,critical,updated,C,Team2,OK,27.24628826,4.649929251,0,8,567.3271262
DEV100161,good,outdated,C,Team3,FAIL,11.0724098,3.230459492,9,1,603.4730022
DEV100162,critical,pending,A,Team1,FAIL,80.4236387,4.939669237,1,7,439.1664803
DEV100163,warning,pending,B,Team1,CHECK,71.56618803,3.043362683,8,7,447.8039755
DEV100164,critical,outdated,A,Team1,FAIL,43.49661281,3.165552369,12,3,343.1510849
DEV100165,critical,outdated,A,Team1,OK,70.70714516,3.96065926,18,9,871.0789823
DEV100166,critical,updated,A,Team1,FAIL,25.24635733,3.783662412,17,7,912.2519043
DEV100167,good,updated,C,Team3,OK,38.65617625,3.00973337,6,5,804.3682948
DEV100168,good,outdated,B,Team2,OK,10.80035617,4.444277895,19,3,848.3558351
DEV100169,critical,pending,A,Team1,FAIL,27.59647569,4.656563339,13,8,382.5698359
DEV100170,good,pending,A,Team1,CHECK,30.12812371,4.902487914,7,5,213.462695
DEV100171,warning,pending,B,Team3,OK,98.3667829,3.12913291,17,1,315.60919
DEV100172,good,pending,C,Team3,FAIL,62.04283828,3.379305315,12,8,635.0913976
DEV100173,good,updated,C,Team1,CHECK,9.706080158,3.691070063,0,7,228.4705502
DEV100174,warning,outdated,B,Team2,FAIL,27.50373409,3.392467679,3,5,148.7570847
DEV100175,critical,outdated,A,Team2,OK,30.00901874,4.270643849,16,4,834.7480272
DEV100176,good,outdated,C,Team3,FAIL,80.98629806,4.288171926,7,7,859.2604942
DEV100177,good,pending,A,Team1,OK,25.66437755,3.00094332,4,5,477.0342164
DEV100178,good,outdated,A,Team1,CHECK,78.35631834,3.991884932,6,8,483.2624393
DEV100179,critical,pending,B,Team2,CHECK,58.18139899,4.04335799,2,4,590.3333574
DEV100180,good,updated,B,Team2,FAIL,63.49552342,3.141424936,2,6,231.081193
DEV100181,warning,updated,C,Team3,OK,87.59628762,4.510240394,18,3,763.4269139
DEV100182,warning,updated,A,Team1,OK,18.20731288,3.870184834,15,2,977.1532246
DEV100183,warning,updated,C,Team1,OK,84.19892494,3.731535714,0,6,105.1333782
DEV100184,critical,outdated,C,Team3,OK,6.193311752,4.825021746,18,2,497.2288956
DEV100185,warning,updated,A,Team1,FAIL,88.85177696,4.05295718,9,2,436.386179
DEV100186,warning,outdated,A,Team2,CHECK,9.608736483,4.42097791,9,6,976.7700469
DEV100187,critical,outdated,C,Team3,CHECK,48.25662577,4.42091671,8,0,445.1003772
DEV100188,critical,pending,B,,FAIL,93.63019518,4.7815096,2,5,861.4096332
DEV100189,warning,updated,A,Team3,FAIL,94.92814959,3.578226644,12,7,611.6743011
DEV100190,good,updated,A,Team3,OK,9.37428019,3.163521503,3,2,276.7282906
DEV100191,good,outdated,B,Team1,CHECK,39.21912616,4.277114734,13,9,994.0982655
DEV100192,warning,outdated,B,Team3,FAIL,21.98930812,4.903600156,16,3,918.9550745
DEV100193,warning,pending,C,Team1,FAIL,38.62889908,4.942262608,17,2,669.3716639
DEV100194,critical,updated,A,Team2,OK,13.10473096,3.708903647,11,3,785.9406636
DEV100195,critical,updated,B,Team3,CHECK,3.038145878,4.977471556,9,2,472.436565
DEV100196,good,updated,C,Team3,OK,75.37768489,4.704098361,17,6,686.7623437
DEV100197,warning,updated,C,Team3,OK,71.18190539,3.657341239,17,3,186.2805688
DEV100198,good,pending,B,Team2,OK,24.64954035,3.089444193,3,1,878.0639156
DEV100199,good,outdated,A,Team2,OK,54.03212432,3.546631192,7,3,721.5066583
DEV100200,good,pending,B,Team2,FAIL,90.98271589,4.886975846,14,6,551.5342824
DEV100201,warning,outdated,C,Team1,OK,55.03725627,3.242130104,14,1,503.4293302
DEV100202,warning,pending,C,Team2,OK,61.88083522,4.294154382,13,9,772.6877952
DEV100203,warning,pending,C,Team1,FAIL,95.56243162,3.470097336,8,6,895.3455051
DEV100204,good,updated,C,Team2,FAIL,16.37647048,3.606911373,8,7,924.6050886
DEV100205,good,outdated,A,Team3,CHECK,11.3348012,4.711316315,15,9,736.9725663
DEV100206,critical,updated,A,Team3,OK,28.02673194,4.594673961,4,3,331.3615081
DEV100207,good,pending,A,Team3,CHECK,64.78274252,3.734405453,9,6,146.9969025
DEV100208,warning,pending,B,Team2,CHECK,74.68644969,4.385880119,8,8,538.3946617
DEV100209,critical,pending,C,Team2,OK,0.378095203,3.542004911,8,6,718.8148221
DEV100210,critical,outdated,B,Team3,CHECK,49.71330077,4.262890495,11,1,759.870687
DEV100211,warning,pending,C,Team3,FAIL,49.60163963,4.966193322,13,0,852.9174836
DEV100212,critical,pending,C,Team2,CHECK,33.92536484,3.583682751,6,3,414.2729243
DEV100213,good,updated,A,Team1,OK,99.66414663,4.71566434,6,1,587.7306398
DEV100214,critical,outdated,C,Team2,OK,18.30215636,3.162198114,18,8,140.2073321
DEV100215,critical,outdated,C,Team3,OK,58.09760278,4.3168824,5,4,729.6193712
DEV100216,warning,updated,A,Team3,FAIL,2.263408992,3.771215766,4,2,669.6304568
DEV100217,warning,outdated,C,Team3,CHECK,22.1373567,4.435240385,18,9,295.1354212
DEV100218,good,updated,B,Team3,FAIL,43.28243875,4.076675971,16,6,583.5493707
DEV100219,warning,pending,B,Team2,FAIL,51.43374972,3.639637816,10,6,868.3590761
DEV100220,critical,updated,B,Team1,OK,26.93392883,4.157138963,11,7,656.4248105
DEV100221,warning,updated,B,Team2,FAIL,47.05499111,4.621939422,3,0,822.0146173
DEV100222,critical,updated,A,Team2,CHECK,77.57323479,3.327656173,5,1,781.6770769
DEV100223,good,pending,B,Team3,FAIL,55.89604129,4.360098739,17,7,677.3049508
DEV100224,good,outdated,B,Team1,OK,14.70218433,4.818824948,3,6,942.3388396
DEV100225,warning,updated,C,Team3,CHECK,90.72953602,3.642289827,16,8,826.8943386
DEV100226,critical,updated,A,Team2,FAIL,16.2662104,3.150670299,17,9,746.118398
DEV100227,good,updated,C,Team3,CHECK,57.49946894,4.750734637,14,1,592.5515759
DEV100228,warning,pending,C,Team1,FAIL,64.57961377,3.791526541,6,8,105.665666
DEV100229,critical,updated,A,Team3,OK,68.05169133,3.063428473,14,4,619.0705304
DEV100230,critical,outdated,B,Team3,FAIL,52.43161543,3.241418911,3,5,800.5234012
DEV100231,good,updated,A,Team3,FAIL,50.76227266,4.505987763,7,5,949.9952539
DEV100232,good,updated,B,Team1,FAIL,93.73713943,3.7958817,5,6,873.8047017
DEV100233,warning,pending,A,Team3,FAIL,84.07774209,3.865658146,19,5,869.7659339
DEV100234,warning,pending,C,Team3,FAIL,57.01693403,4.202237473,6,1,432.1168433
DEV100235,critical,pending,C,Team2,FAIL,36.00567925,3.168712514,14,4,307.2392228
DEV100236,warning,pending,C,Team2,FAIL,27.16161779,3.883966166,3,4,934.5288599
DEV100237,warning,outdated,A,Team3,FAIL,58.25172527,3.797566163,19,2,798.5293244
DEV100238,good,outdated,C,Team3,OK,40.85566447,3.048815138,18,8,512.8739358
DEV100239,critical,outdated,B,Team3,CHECK,27.28369456,3.783132897,6,8,204.9013201
DEV100240,good,outdated,C,Team3,CHECK,42.8941542,3.054981263,3,8,750.6050977
DEV100241,good,pending,B,Team3,CHECK,88.41108143,4.808748277,3,2,573.8824607
DEV100242,critical,outdated,A,Team2,CHECK,19.47711515,4.30639601,10,2,198.1179204
DEV100243,good,updated,B,Team2,OK,2.846661516,4.727331246,0,8,983.2058314
DEV100244,good,outdated,C,Team3,CHECK,99.48556731,3.913423566,5,8,660.0796112
DEV100245,good,updated,C,Team1,CHECK,27.82226953,3.785891524,13,1,462.1569881
DEV100246,good,pending,C,Team2,OK,45.75672444,4.862013651,10,5,586.0258695
DEV100247,warning,pending,C,Team1,OK,64.26460582,4.020242979,1,5,919.9488764
DEV100248,critical,outdated,C,Team3,OK,64.84123792,4.381637414,1,2,769.1526077
DEV100249,critical,outdated,C,Team1,OK,10.83459388,3.441810888,17,7,805.0650584
DEV100250,warning,pending,A,Team1,CHECK,36.08994688,4.470159747,18,1,213.1170772
DEV100251,warning,outdated,A,Team1,CHECK,42.93380003,4.983772373,14,3,364.0064521
DEV100252,critical,pending,C,Team1,OK,46.71486469,4.569460978,3,3,159.8218994
DEV100253,good,outdated,A,Team1,CHECK,46.65961421,4.351131491,5,5,674.615152
DEV100254,good,pending,A,Team3,CHECK,31.2070542,3.070163574,5,0,572.7218331
DEV100255,good,outdated,A,Team3,FAIL,7.521755561,3.632866925,2,5,196.7064771
DEV100256,good,pending,A,Team2,CHECK,45.37741987,3.03119836,16,9,337.5317812
DEV100257,warning,outdated,C,Team2,OK,15.27979853,3.440111569,0,9,105.6524717
DEV100258,warning,pending,C,Team1,FAIL,55.38416893,3.706611804,10,8,316.1597477
DEV100259,good,outdated,C,Team1,CHECK,76.01604028,4.224161899,4,0,442.0047494
DEV100260,critical,pending,A,Team2,OK,75.93022842,4.02997083,10,8,227.9476896
DEV100261,critical,updated,C,Team2,OK,69.75474014,4.538299175,11,5,327.5898649
DEV100262,critical,outdated,C,Team3,FAIL,72.40757008,4.237846645,19,0,703.9460082
DEV100263,warning,outdated,B,Team2,FAIL,22.74279727,4.06128278,18,0,951.9906646
DEV100264,warning,updated,B,Team1,CHECK,41.69746597,4.033529703,0,9,555.4935702
DEV100265,critical,updated,B,Team3,FAIL,86.88061615,3.709143202,12,5,243.1305082
DEV100266,critical,pending,A,Team2,FAIL,44.68708399,4.265560716,19,0,120.9486266
DEV100267,critical,outdated,B,Team2,CHECK,68.01609356,3.869787677,15,0,196.2217976
DEV100268,warning,pending,B,Team3,OK,62.9922062,3.175337907,19,3,332.7634863
DEV100269,critical,outdated,C,Team1,CHECK,65.02368617,3.658550707,10,7,360.0367763
DEV100270,warning,outdated,A,Team2,CHECK,22.59487499,3.892307188,1,3,149.3963249
DEV100271,good,outdated,B,,OK,6.48279164,4.014826005,4,3,402.4384765
DEV100272,critical,updated,B,Team1,CHECK,95.67809295,4.956281726,7,9,557.4333683
DEV100273,good,outdated,B,Team2,OK,92.612978,4.302886606,4,2,469.2384201
DEV100274,warning,outdated,C,Team1,OK,33.66332116,4.157637916,6,4,485.9783593
DEV100275,warning,outdated,A,Team2,OK,31.15440692,4.996291196,16,9,335.6948264
DEV100276,critical,outdated,B,Team3,FAIL,88.010223,3.741478694,14,2,847.658629
DEV100277,??,outdated,C,Team3,CHECK,74.64644978,3.379406971,11,9,519.0898944
DEV100278,critical,outdated,B,Team3,FAIL,28.52892582,3.348847622,12,1,933.1026975
DEV100279,critical,updated,A,Team3,CHECK,72.94954923,4.996014903,19,9,796.8746078
DEV100280,good,outdated,A,Team1,FAIL,31.33137268,3.358006321,7,1,611.6769353
DEV100281,warning,pending,B,Team1,FAIL,14.04696797,3.934638281,10,1,704.8550724
DEV100282,warning,pending,A,Team1,OK,51.61670562,4.002541178,4,6,794.6019617
DEV100283,good,pending,C,Team2,CHECK,89.02240666,3.560624783,7,1,981.2822983
DEV100284,warning,updated,C,Team2,FAIL,82.79311944,3.008546371,14,4,555.4476546
DEV100285,warning,pending,B,Team1,CHECK,80.87924637,3.724125189,13,4,715.0394956
DEV100286,warning,outdated,C,Team1,CHECK,65.9501215,4.901368259,17,1,685.0857543
DEV100287,good,updated,C,Team3,OK,88.98940475,4.421027704,12,6,724.7843918
DEV100288,good,updated,B,Team2,OK,53.59017339,3.624378869,1,4,632.1669676
DEV100289,critical,outdated,A,Team3,FAIL,27.73712714,4.412794382,10,2,182.6904451
DEV100290,good,pending,C,Team2,OK,87.59943056,4.749892868,3,2,881.9982062
DEV100291,warning,pending,B,Team1,CHECK,64.64859465,4.311388976,10,2,281.7494029
DEV100292,good,pending,B,Team3,OK,45.18426083,4.432280747,5,1,112.7397227
DEV100293,critical,outdated,A,Team3,CHECK,47.0601172,4.338484006,17,7,789.4835773
DEV100294,good,pending,B,Team3,FAIL,13.6049983,4.249973454,10,8,328.4579366
DEV100295,critical,updated,B,Team3,OK,33.29859272,4.148212098,17,9,291.340327
DEV100296,good,updated,C,Team1,FAIL,24.81508423,4.3369885,19,8,164.9019396
DEV100297,good,pending,A,Team3,FAIL,85.42285425,4.906018637,10,0,877.5554624
DEV100298,critical,outdated,C,Team2,OK,56.85378121,3.569667754,8,7,279.4009738
DEV100299,critical,updated,C,Team2,FAIL,65.34205992,3.362705092,15,6,241.4314731
DEV100300,critical,pending,C,Team2,OK,97.80569878,4.665296729,0,4,545.0013436
DEV100301,critical,pending,B,Team3,FAIL,48.61653733,3.348438369,17,2,332.6563793
DEV100302,critical,pending,C,Team1,FAIL,2.550202705,4.126936367,12,7,117.853506
DEV100303,good,pending,C,Team2,CHECK,63.80244771,4.345715906,8,2,854.7923573
DEV100304,warning,outdated,C,Team1,OK,54.21204838,4.014279028,12,2,220.2647516
DEV100305,critical,outdated,B,Team1,CHECK,50.81141737,4.313956682,6,5,878.6133614
DEV100306,critical,outdated,C,Team1,FAIL,94.00956893,4.131876787,9,8,869.4145999
DEV100307,good,pending,C,Team3,FAIL,49.35870094,3.717809644,15,5,953.6821712
DEV100308,critical,outdated,C,Team1,OK,2.12248268,4.270386576,8,3,346.6567544
DEV100309,good,pending,A,Team2,FAIL,97.46694769,3.858400436,17,5,366.0577232
DEV100310,critical,pending,C,Team2,OK,67.88580693,4.992545239,6,1,363.1514842
DEV100311,good,updated,B,Team2,FAIL,91.17911969,3.73562882,2,6,958.5898809
DEV100312,warning,pending,C,Team2,OK,19.22026185,3.191633028,3,1,963.7132607
